experiment_id,dataset_id,timestamp,status,load_balance_degree,bandwidth_satisfaction,composite_score,error
1,1,2026-01-13T17:19:10.323069,success,0.1712,0.7871,0.80795,
2,2,2026-01-13T17:21:33.037873,success,0.1876,0.8036,0.808,
3,3,2026-01-13T17:23:44.488250,success,0.1824,0.8433,0.83045,
4,4,2026-01-13T17:26:10.453148,success,0.1848,0.8121,0.81365,
5,5,2026-01-13T17:28:24.022275,success,0.2166,0.8129,0.7981499999999999,
