experiment_id,dataset_id,timestamp,status,load_balance_degree,bandwidth_satisfaction,composite_score,error
1,1,2026-01-13T14:45:54.435406,success,0.2098,0.5534,0.6718,
2,2,2026-01-13T14:48:22.523207,success,0.2115,0.5399,0.6642,
3,3,2026-01-13T14:50:34.023078,success,0.2021,0.5688,0.68335,
4,4,2026-01-13T14:53:00.559194,success,0.1899,0.5262,0.66815,
5,5,2026-01-13T14:55:32.650839,success,0.1973,0.5838,0.6932499999999999,
