nodes,cpu_load,ram_load,bw_load
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.05078125,0.021484375,0.004
7,0.05078125,0.021484375,0.004
8,0.05078125,0.021484375,0.004
9,0.05078125,0.021484375,0.004
10,0.05078125,0.021484375,0.004
11,0.1015625,0.05078125,0.0025
12,0.1015625,0.05078125,0.0025
13,0.1015625,0.05078125,0.0025
14,0.1015625,0.05078125,0.0025
15,0.1015625,0.05078125,0.0025
16,0.15625,0.08203125,0.0025
17,0.15625,0.08203125,0.0025
18,0.15625,0.08203125,0.0025
19,0.15625,0.08203125,0.0025
20,0.15625,0.08203125,0.0025
21,0.21875,0.1015625,0.0015
22,0.21875,0.1015625,0.0015
23,0.21875,0.1015625,0.0015
24,0.21875,0.1015625,0.0015
25,0.21875,0.1015625,0.0015
26,0.27734375,0.123046875,0.004
27,0.27734375,0.123046875,0.004
28,0.27734375,0.123046875,0.004
29,0.27734375,0.123046875,0.004
30,0.27734375,0.123046875,0.004
31,0.34765625,0.1484375,0.0015
32,0.34765625,0.1484375,0.0015
33,0.34765625,0.1484375,0.0015
34,0.34765625,0.1484375,0.0015
35,0.34765625,0.1484375,0.0015
36,0.40234375,0.18359375,0.004
37,0.40234375,0.18359375,0.004
38,0.40234375,0.18359375,0.004
39,0.40234375,0.18359375,0.004
40,0.40234375,0.18359375,0.004
41,0.4765625,0.2109375,0.004
42,0.4765625,0.2109375,0.004
43,0.4765625,0.2109375,0.004
44,0.4765625,0.2109375,0.004
45,0.4765625,0.2109375,0.004
46,0.5390625,0.236328125,0.0025
47,0.5390625,0.236328125,0.0025
48,0.5390625,0.236328125,0.0025
49,0.5390625,0.236328125,0.0025
50,0.5390625,0.236328125,0.0025
