experiment_id,dataset_id,timestamp,status,load_balance_degree,bandwidth_satisfaction,composite_score,error
1,1,2026-01-13T17:07:06.458785,success,0.1822,0.7782,0.798,
2,2,2026-01-13T17:09:23.179332,success,0.214,0.7554,0.7706999999999999,
3,3,2026-01-13T17:11:38.858353,success,0.2078,0.7406,0.7664,
4,4,2026-01-13T17:14:05.662351,success,0.1859,0.8079,0.8109999999999999,
5,5,2026-01-13T17:16:09.327990,success,0.1723,0.7744,0.80105,
