experiment_id,dataset_id,timestamp,status,load_balance_degree,bandwidth_satisfaction,composite_score,error
1,1,2026-01-13T15:37:43.741293,success,0.2586,0.7909,0.7661500000000001,
2,2,2026-01-13T15:29:51.358468,success,0.1918,0.95,0.8791,
3,3,2026-01-13T15:31:30.769799,success,0.2176,0.95,0.8662,
4,4,2026-01-13T15:33:00.519890,success,0.1863,0.925,0.8693500000000001,
5,5,2026-01-13T15:34:40.909968,success,0.1922,0.8714,0.8395999999999999,
