scheduler,run,completed,avg_waiting,avg_bw_satisfaction
ces_scheduler,0,101,260.25052933633333,0.500352582118477
swts_scheduler,0,104,256.8620200863203,0.38730980599851006
fifo_scheduler,0,92,262.3678437136081,0.44352983120279715
sjf_scheduler,0,121,251.74554754056314,0.44339552354567
adaevo_scheduler,0,112,255.0550317335748,0.38317978038569184
