time,completed,avg_waiting,avg_waiting_completed,avg_bw_satisfaction,avg_cpu_util,avg_bw_util,L_cpu,L_ram,L_bw,load_balance
1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,0.02530107399833259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0,0.3196884004847286,0.0,0.0,0.041891513008408494,0.0,0.11219405245658395,0.23395209340918088,0.0,0.13845845834630593
4.0,0,0.7077463451503478,0.0,0.0,0.07747849894123397,0.0,0.14589414339555792,0.31199271243280896,0.0,0.18315474233134676
5.0,0,1.1031251476584765,0.0,0.0,0.1218183452317239,0.0,0.1942295958745844,0.34210145726391095,0.0,0.21453242125539818
6.0,0,1.8364584809918096,0.0,0.0,0.1852516722494452,0.0,0.26515756505159344,0.3527862327741431,0.0,0.24717751913029465
7.0,0,2.503125147658477,0.0,0.0,0.2336481691332527,0.0,0.3136943417721953,0.35549500228692743,0.0,0.2676757376236491
8.0,0,2.7044606225383454,0.0,0.0,0.25403668785908956,0.013969237703099192,0.3258472453804394,0.35841905519875955,0.05095575009370416,0.28389767025042045
9.0,0,2.763948193647019,0.0,0.0,0.27255966950768895,0.013969237703099192,0.3314141513495761,0.3913154876318118,0.05095575009370416,0.29928300561129595
10.0,0,3.074092901075918,0.0,0.0,0.31762257344172395,0.013969237703099192,0.3487432842684538,0.41245137568092544,0.05095575009370416,0.31466901399849256
11.0,0,3.3458623267323135,0.0,0.0,0.37187748978425733,0.013969237703099192,0.37498161552675174,0.4026177279600575,0.05095575009370416,0.32123088741346456
12.0,0,3.475294134859444,0.0,0.0,0.4050116784870632,0.013969237703099192,0.3876906215366072,0.39286468281063636,0.05095575009370416,0.32241327175763823
13.0,0,3.740162057467738,0.0,0.0,0.4701108871840866,0.013969237703099192,0.40989188129274906,0.39181476723057523,0.05095575009370416,0.33087380942807054
14.0,0,4.415837733143412,0.0,0.0,0.5339121380744614,0.013969237703099192,0.3802225540455683,0.362691673926664,0.05095575009370416,0.3073568412076338
15.0,0,4.603565652699712,0.0,0.0,0.5679597510287889,0.013969237703099192,0.36632802394123565,0.36262526298064457,0.05095575009370416,0.3017724647874929
16.0,0,4.751811563845888,0.0,0.0,0.63059411916518,0.01780824376685826,0.3504980943883379,0.3511674835436612,0.05787874394888634,0.29224197996257695
17.0,0,4.9485784131242445,0.0,0.0,0.6966987921365166,0.030197996930462326,0.3165538586299195,0.3112358260797974,0.14061055017260737,0.27923798391840826
18.0,0,5.451118239632711,0.0,0.0,0.765380042989534,0.030197996930462326,0.3024855965277111,0.2960771464009575,0.14061055017260737,0.2675472072059889
19.0,0,6.030361420495531,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
20.0,0,6.2195059601718405,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
21.0,0,6.524046636087171,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
22.0,0,6.954112014486681,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
23.0,0,7.387636688775602,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
24.0,0,7.726848474695616,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
25.0,0,7.973553714029279,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
26.0,0,8.252402155699802,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
27.0,0,8.642617321411356,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
28.0,0,8.95887156733055,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
29.0,0,9.67604574365871,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
30.0,0,10.388816887494295,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
31.0,0,10.869281601916542,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
32.0,0,11.362435158358274,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
33.0,0,11.962495347949377,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
34.0,0,12.674825174869222,0.0,0.0,0.7827693214232732,0.04416707492770789,0.2613337617185606,0.2253481305722653,0.16251479271608685,0.22717571545954773
35.0,2,13.033153799061253,0.4338913727010576,1.0,0.7052908224820392,0.04416707492770789,0.3474585829551386,0.27537211838740444,0.16251479271608685,0.2816352390802346
36.0,2,13.499896955798759,0.4338913727010576,1.0,0.7754610035994269,0.04416707492770789,0.2839309532618677,0.24253443132299135,0.16251479271608685,0.24308911237716102
37.0,2,13.957024807163544,0.4338913727010576,1.0,0.8200952319860965,0.04416707492770789,0.23857322314088128,0.20062276248122368,0.16251479271608685,0.2081813527920594
