time,completed,avg_waiting,avg_waiting_completed,avg_bw_satisfaction,avg_cpu_util,avg_bw_util,L_cpu,L_ram,L_bw,load_balance
1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,0.02530107399833259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0,0.3196884004847286,0.0,0.0,0.041891513008408494,0.0,0.11219405245658395,0.23395209340918088,0.0,0.13845845834630593
4.0,0,0.7077463451503478,0.0,0.0,0.07747849894123397,0.0,0.14589414339555792,0.31199271243280896,0.0,0.18315474233134676
5.0,0,1.1031251476584765,0.0,0.0,0.13173341528376736,0.0,0.20787894199903156,0.3508939930943139,0.0,0.2235091740373382
6.0,0,1.8364584809918096,0.0,0.0,0.16578102823809493,0.0,0.23686497465638012,0.3597222935230893,0.0,0.2386349072717878
7.0,0,2.503125147658477,0.0,0.0,0.2284153963744861,0.0,0.30629734116711,0.37141705018755855,0.0,0.2710857565418674
8.0,0,2.7044606225383454,0.0,0.0,0.29452006934582253,0.012389753163604068,0.3464482582377538,0.3719943040102581,0.04519424605304152,0.2964158741098131
9.0,0,2.763948193647019,0.0,0.0,0.3632013201988399,0.012389753163604068,0.3783753758996435,0.3767162327875236,0.04519424605304152,0.3110754926854752
10.0,0,3.074092901075918,0.0,0.0,0.38059059863257916,0.026358831160849628,0.39200474513362027,0.3881678126587706,0.09614941358585447,0.3312989058341273
11.0,0,3.3458623267323127,0.0,0.0,0.40618468051876394,0.026358831160849628,0.4147985261276711,0.4172476591871063,0.09614941358585447,0.3520483568430819
12.0,0,3.475294134859444,0.0,0.0,0.43585914126119074,0.026358831160849628,0.42196122129443303,0.43822348660049776,0.09614941358585447,0.36330376587514324
13.0,0,3.7401620574677366,0.0,0.0,0.4557364026429084,0.026358831160849628,0.4147170606356566,0.4291706799758391,0.09614941358585447,0.3567849789617692
14.0,0,4.415837733143412,0.0,0.0,0.49391895242857836,0.026358831160849628,0.40723943520009104,0.42668620347565583,0.09614941358585447,0.35280013818746964
15.0,0,4.603565652699712,0.0,0.0,0.5391351925572877,0.026358831160849628,0.42767209929979844,0.4195504466746888,0.09614941358585447,0.3581189011069658
16.0,0,4.751811563845888,0.0,0.0,0.6019348221433556,0.026358831160849628,0.40103801696826274,0.4102458216839257,0.09614941358585447,0.3437434181780463
17.0,0,4.9485784131242445,0.0,0.0,0.6160433093980605,0.026358831160849628,0.37828869561058615,0.3733336352680219,0.09614941358585447,0.3198788150686141
18.0,0,5.451118239632709,0.0,0.0,0.6589297267350461,0.026358831160849628,0.354566064993309,0.3647682454461681,0.09614941358585447,0.30696360689296176
19.0,0,6.030361420495534,0.0,0.0,0.691900674041779,0.026358831160849628,0.30511917118558773,0.286751673792579,0.09614941358585447,0.2559782207084376
20.0,0,6.202556807629468,0.0,0.0,0.7614236680713319,0.026358831160849628,0.23064869692956455,0.24803045246948885,0.09614941358585447,0.2107015424767923
21.0,0,6.4764275884681215,0.0,0.0,0.7827001480598024,0.02811802592818274,0.1813993721710288,0.13727943706291704,0.10256644870513593,0.1479848134346055
22.0,0,6.878354438729103,0.0,0.0,0.7827001480598024,0.02811802592818274,0.1813993721710288,0.13727943706291704,0.10256644870513593,0.1479848134346055
