experiment_id,dataset_id,timestamp,status,load_balance_degree,bandwidth_satisfaction,composite_score,error
1,1,2026-01-13T15:16:02.141679,success,0.1782,0.5883,0.70505,
2,2,2026-01-13T15:18:47.355283,success,0.1692,0.6592,0.745,
3,3,2026-01-13T15:21:06.396086,success,0.1888,0.7328,0.772,
4,4,2026-01-13T15:23:18.432159,success,0.1588,0.6457,0.7434499999999999,
5,5,2026-01-13T15:25:30.790484,success,0.2037,0.6483,0.7222999999999999,
