experiment_id,dataset_id,timestamp,status,load_balance_degree,bandwidth_satisfaction,composite_score,error
1,1,2026-01-13T16:20:20.763254,success,0.2096,0.6936,0.742,
2,2,2026-01-13T16:22:55.287324,success,0.1677,0.5978,0.71505,
3,3,2026-01-13T16:25:21.082287,success,0.1835,0.6529,0.7347,
4,4,2026-01-13T16:27:33.173966,success,0.2114,0.6369,0.71275,
5,5,2026-01-13T16:30:03.371372,success,0.1978,0.6812,0.7417,

