experiment_id,dataset_id,timestamp,status,load_balance_degree,bandwidth_satisfaction,composite_score,error
1,1,2026-01-13T15:58:52.303181,success,0.2437,1.0,0.87815,
2,2,2026-01-13T16:01:22.342603,success,0.2278,1.0,0.8861,
3,3,2026-01-13T16:15:52.746736,success,0.2041,0.8857,0.8408,
4,4,2026-01-13T16:06:04.471019,success,0.2732,1.0,0.8634,
5,5,2026-01-13T16:18:30.392154,success,0.1889,0.86,0.83555,
